TNS,RA_deg,Dec_deg,RA_hours,mag_r,POx,tags,DM,min_airmass,min_am_time_pst,min_am_ha,am_evening,ha_evening,am_morning,ha_morning,observable,limit_reason,setting_priority
FRB20200702C,8.269527057,28.831266587,0.5513018037999999,15.98,0.9962284555,CHIME-Repeater,201.3043743674,1.010762430060316,2026-08-14 03:08:00-08:00,-0.0014114809370013859,5.119915880461769,-6.519207362948954,1.0198620478761893,0.6336558079551227,True,,1
FRB20230805A,36.01659469,52.69333013,2.4011063126666667,17.99,0.770977648,"CHIME-Repeater,CHIME-Blind",638.506958,1.086232055549689,2026-08-14 03:23:00-08:00,-1.6005315336199182,4.98000642466723,-8.36901187181562,1.065648639646372,-1.2161487009115426,True,,1
FRB20250902A,24.3006635935,11.4880505847,1.6200442395666668,18.57,0.994768617,CHIME-Unbiased,364.359683,1.1337182302693616,2026-08-14 03:23:00-08:00,-0.8194694605199153,99.9,-7.58794979871562,1.1168914865284627,-0.4350866278115433,True,,1
FRB20231223B,78.69896964,48.75101202,5.246597976,16.27,0.9181678926,CHIME-Repeater,499.4022217,1.5167828401099852,2026-08-14 03:23:00-08:00,-4.446023196953249,99.9,-11.214503535148953,1.4148663898403908,-4.061640364244877,True,,1
FRB20230729A,236.05418177,39.5564569605,15.736945451333334,18.44,0.9620048996,CHIME-Blind,599.7937883969,1.119462872745593,2026-08-13 20:38:00-08:00,2.2951489895177133,1.119462872745593,2.2951489895177133,99.9,9.448012160421788,True,,0
FRB20200621B,231.7814513706,58.7219726288,15.45209675804,16.87,0.9212031556,CHIME-Blind,637.2938232422,1.1882542076430322,2026-08-13 20:38:00-08:00,2.5799976828110474,1.1882542076430322,2.5799976828110474,5.698287421800794,9.732860853715122,True,,0
